Time,Open,High,Low,Last,Change,Volume
"11/22/19 16:00",311,311.02,310.96,311.02,0.019999999999982,687428
"11/22/19 15:00",310.91,311.03,310.58,311,0.10000000000002,7041386
"11/22/19 14:00",310.9,311,310.71,310.9,0.0049999999999955,2339362
"11/22/19 13:00",310.84,310.97,310.7,310.895,0.044999999999959,2786653
"11/22/19 12:00",310.54,310.92,310.49,310.85,0.32000000000005,2393656
"11/22/19 11:00",310.4,310.67,309.85,310.53,0.13,3571168
"11/22/19 10:00",311.08,311.24,310.17,310.4,-0.68000000000001,5538595
"11/22/19 09:00",311.09,311.22,310.72,311.08,0.77999999999997,2873718
"11/21/19 16:00",310.29,310.3,310.27,310.3,0.0099999999999909,585525
"11/21/19 15:00",310.71,310.75,309.88,310.29,-0.40499999999997,10601673
"11/21/19 14:00",310.375,310.83,310.12,310.695,0.315,3715673
"11/21/19 13:00",310.5,310.63,310.32,310.38,-0.12,2262147
"11/21/19 12:00",309.84,310.63,309.76,310.5,0.66000000000003,3008903
"11/21/19 11:00",310.0739,310.3999,309.74,309.84,-0.23000000000002,3780245
"11/21/19 10:00",310.3,310.56,309.39,310.07,-0.22000000000003,8031255
"11/21/19 09:00",310.89,311.01,310.05,310.29,-0.51999999999998,4103701
"11/20/19 16:00",310.8,310.84,310.77,310.81,0.019999999999982,1270033
"11/20/19 15:00",310.38,310.92,310.15,310.79,0.41000000000003,12839275
"11/20/19 14:00",310,310.695,309.64,310.38,0.38999999999999,5726198
"11/20/19 13:00",310.17,310.28,309.06,309.99,-0.18000000000001,14418526
"11/20/19 12:00",311.36,311.47,309.53,310.17,-1.195,7863241
"11/20/19 11:00",311.655,311.78,311.27,311.365,-0.28499999999997,3372375
"11/20/19 10:00",311.5,311.85,311.07,311.65,0.14999999999998,6256298
"11/20/19 09:00",311.28,311.62,311.21,311.5,-0.41000000000003,3542433
"11/19/19 16:00",311.89,311.93,311.89,311.91,0.020000000000039,1092942
"11/19/19 15:00",312.04,312.34,311.81,311.89,-0.15000000000003,11367126
"11/19/19 14:00",311.94,312.4,311.935,312.04,0.11000000000001,5575779
"11/19/19 13:00",311.91,312.13,311.7,311.93,0.019999999999982,2601667
"11/19/19 12:00",312.13,312.2,311.6,311.91,-0.22999999999996,5500855
"11/19/19 11:00",311.36,312.47,311.33,312.14,0.77999999999997,7533703
"11/19/19 10:00",312.035,312.12,311.22,311.36,-0.68000000000001,5510070
"11/19/19 09:00",312.68,312.69,311.97,312.04,0.060000000000002,3074733
"11/18/19 16:00",312,312.02,311.97,311.98,-0.0099999999999909,1005052
"11/18/19 15:00",312.145,312.19,311.67,311.99,-0.14999999999998,8294598
"11/18/19 14:00",312.13,312.28,311.95,312.14,0.0099999999999909,2797616
"11/18/19 13:00",311.9,312.21,311.83,312.13,0.23500000000001,2078393
"11/18/19 12:00",311.94,311.98,311.68,311.895,-0.045000000000016,1716186
"11/18/19 11:00",311.625,312,311.48,311.94,0.3177,4555187
"11/18/19 10:00",311.45,311.8,311.03,311.6223,0.17230000000001,5178446
"11/18/19 09:00",311.53,311.58,311.085,311.45,-0.36000000000001,3138527
"11/15/19 16:00",311.82,311.84,311.79,311.81,-0.019999999999982,844348
"11/15/19 15:00",311.49,311.83,311.09,311.83,0.33999999999997,11335800
"11/15/19 14:00",311.14,311.52,311.11,311.49,0.34500000000003,3132299
